"工作流程名称","wffec879c4-0f2d-42f5-adba-17db47eeaa3e"
"货件编号","FBA19GPGFQ5Q"
"货件名称","FBA STA (06/23/2026 08:10)-POC1"
"配送地址","FONTANA, CA"
"箱子数量","30"
"SKU 数量","1"
"商品数量","150"

"原厂包装发货（30 箱）"
"SKU","商品名称","ASIN","FNSKU","原厂包装模板名称","状况","预处理类型","包装箱重量（磅）","箱子长度（英寸）","箱子宽度（英寸）","箱子高度（英寸）","每箱件数","箱子总数","商品总数","箱号"
"B2207-BN","Roman Bathtub Faucet Deck Mount Tub Faucet for Bathroom Widespread Elegant Classic Spout with 3 Holes 2 Handle Valve Cartridge Included, Brush Nickel","B09VGDD6DF","X0036T55NF","B2207","新品","无需进行预处理","44.22","19.69","17.91","13.58","5","30","150","FBA19GPGFQ5QU000001,FBA19GPGFQ5QU000002,FBA19GPGFQ5QU000003,FBA19GPGFQ5QU000004,FBA19GPGFQ5QU000005,FBA19GPGFQ5QU000006,FBA19GPGFQ5QU000007,FBA19GPGFQ5QU000008,FBA19GPGFQ5QU000009,FBA19GPGFQ5QU000010,FBA19GPGFQ5QU000011,FBA19GPGFQ5QU000012,FBA19GPGFQ5QU000013,FBA19GPGFQ5QU000014,FBA19GPGFQ5QU000015,FBA19GPGFQ5QU000016,FBA19GPGFQ5QU000017,FBA19GPGFQ5QU000018,FBA19GPGFQ5QU000019,FBA19GPGFQ5QU000020,FBA19GPGFQ5QU000021,FBA19GPGFQ5QU000022,FBA19GPGFQ5QU000023,FBA19GPGFQ5QU000024,FBA19GPGFQ5QU000025,FBA19GPGFQ5QU000026,FBA19GPGFQ5QU000027,FBA19GPGFQ5QU000028,FBA19GPGFQ5QU000029,FBA19GPGFQ5QU000030"
